publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2023p310621,earthquake,2023-04-25T22:19:03.548Z,2023-04-25T23:04:08.635Z,176.5203247,-40.26909256,5.439800973,13.39922428,MLv,,LOCSAT,confirmed,manual,iasp91,44,29,6,0.08792390674,102.0167313,0.5471639217,0.126867
2023p310616,earthquake,2023-04-25T22:16:14.377Z,2023-04-27T04:08:22.203Z,176.619812,-40.28248215,5.887213472,20.70372009,MLv,,LOCSAT,confirmed,manual,iasp91,42,31,40,0.01993139833,169.617424,0.5945146164,0.2261936346
2023p212590,earthquake,2023-03-20T15:48:28.362Z,2023-04-19T00:58:21.640Z,176.7447662,-38.03915787,4.142699343,3.248811007,MLv,,LOCSAT,confirmed,manual,iasp91,35,31,92,0.05239623412,82.57575989,0.3831899345,0.2080022384
2023p207850,earthquake,2023-03-18T21:42:39.943Z,2023-03-20T03:04:01.411Z,176.734848,-38.05051422,4.246460577,4.782305717,MLv,,LOCSAT,confirmed,manual,iasp91,47,35,34,0.03863253072,59.64191818,0.3321802108,0.2193989116
2023p205256,earthquake,2023-03-17T22:40:34.005Z,2023-03-20T02:55:05.095Z,176.6815948,-38.10529709,4.041352668,7.80541563,MLv,,LOCSAT,confirmed,manual,iasp91,45,32,18,0.03082833439,45.35080719,0.3392715067,0.1716037871
2023p205252,earthquake,2023-03-17T22:38:47.190Z,2023-03-20T02:45:32.963Z,176.6756439,-38.10067749,4.038462794,7.302465916,MLv,,LOCSAT,confirmed,manual,iasp91,54,38,24,0.03159664571,44.48901749,0.3936938703,0.1799018055
2023p204951,earthquake,2023-03-17T19:58:07.209Z,2023-03-20T02:26:36.504Z,176.709198,-38.05813217,4.815444277,4.78091383,MLv,,LOCSAT,confirmed,manual,iasp91,54,41,31,0.02534175478,55.29795074,0.3992658523,0.2023779072
2023p204478,earthquake,2023-03-17T15:46:01.655Z,2023-03-20T02:16:09.254Z,176.6934509,-38.06438065,4.926049046,4.716814995,MLv,,LOCSAT,confirmed,manual,iasp91,57,44,33,0.02282964997,52.37563324,0.4216276193,0.1921634708
2023p204450,earthquake,2023-03-17T15:31:06.273Z,2023-03-29T23:26:14.803Z,176.6967316,-38.06930542,4.661661125,2.665169954,MLv,,LOCSAT,confirmed,manual,iasp91,51,39,32,0.01730554737,51.94654083,0.5050626805,0.1881492648
2023p187624,earthquake,2023-03-11T10:06:12.926Z,2023-03-28T01:21:05.237Z,172.458313,-42.58165741,4.462665702,7.510389805,MLv,,LOCSAT,confirmed,manual,iasp91,29,26,84,0.04092711583,57.30297852,0.4992784638,0.2288324546
2023p178504,earthquake,2023-03-08T01:07:07.728Z,2023-03-27T01:41:17.813Z,172.4883575,-42.57355881,4.318030684,6.418598652,MLv,,LOCSAT,confirmed,manual,iasp91,36,26,72,0.02725270391,55.65765381,0.4519261699,0.2401299582
2023p170633,earthquake,2023-03-05T03:13:40.797Z,2023-03-24T02:30:32.373Z,175.9204712,-38.82116699,4.403312009,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,37,33,106,0.1014592126,24.32768631,0.4349047249,0.1712259059
2023p157593,earthquake,2023-02-28T07:26:07.288Z,2023-03-23T02:27:51.377Z,174.1232147,-41.34016037,4.765317173,28.98431587,MLv,,LOCSAT,confirmed,manual,iasp91,45,29,38,0.09664857388,65.14781189,0.6302356265,0.1979147318
2023p116977,earthquake,2023-02-13T06:45:45.367Z,2023-02-28T01:49:41.549Z,177.7406464,-38.57385635,4.344569675,21.85332298,MLv,,LOCSAT,confirmed,manual,iasp91,44,28,82,0.1328224987,46.8265152,0.4807240741,0.1921886566
2023p078755,earthquake,2023-01-30T03:20:56.748Z,2023-01-30T03:28:52.486Z,171.9016418,-42.9254303,4.280045819,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,46,35,67,0.2463386506,34.57136345,0.3035909815,0.2345453632
2023p078278,earthquake,2023-01-29T23:06:45.542Z,2023-02-15T00:08:43.810Z,171.89888,-42.92933655,4.096735609,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,33,21,50,0.2439674437,53.86886597,0.3499406328,0.2398203324
2023p074811,earthquake,2023-01-28T16:19:37.820Z,2023-02-14T22:58:34.655Z,171.8920288,-42.92939377,4.348460732,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,52,39,66,0.2389480621,53.68188477,0.4089277902,0.2075850553
2022p902801,earthquake,2022-12-01T00:53:00.650Z,2022-12-01T00:59:12.199Z,175.9462433,-38.8229866,4.103607639,9.71019268,MLv,,LOCSAT,confirmed,manual,iasp91,31,25,23,0.1324777752,43.30877686,0.272315349,0.1637514275
2022p901313,earthquake,2022-11-30T11:40:14.568Z,2022-12-08T03:23:20.020Z,175.9276428,-38.8249855,4.493178972,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,35,31,109,0.1282875836,38.9367218,0.5662318429,0.1563790708
2022p901243,earthquake,2022-11-30T11:02:21.225Z,2022-12-08T01:54:35.812Z,175.9263611,-38.8020668,4.033856756,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,42,35,96,0.1365330964,25.55523682,0.4095824801,0.1496215269
2022p901216,earthquake,2022-11-30T10:47:59.057Z,2022-12-08T00:50:32.103Z,175.9560089,-38.85837173,5.74251188,9.143449783,MLv,,LOCSAT,confirmed,manual,iasp91,34,28,40,0.1110479236,26.82459641,0.4343463651,0.2119852337
2022p768417,earthquake,2022-10-12T07:32:50.729Z,2022-10-12T07:38:38.553Z,172.1203766,-42.3596077,4.749624025,3.431470871,M,,LOCSAT,confirmed,manual,iasp91,24,19,104,0.05097089335,69.04006958,0.3909232756,0
2022p745927,earthquake,2022-10-03T23:50:17.075Z,2022-10-19T02:50:41.374Z,173.943573,-40.14764023,4.361203149,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,43,32,103,0.6535845995,108.32901,0.4918370734,0.1543121848
2022p725774,earthquake,2022-09-26T12:52:52.798Z,2022-10-10T01:31:56.700Z,171.3452454,-42.40770721,4.737527064,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,26,17,95,0.1250805408,154.0791893,0.4280422379,0.1732232432
2022p680474,earthquake,2022-09-09T18:36:36.050Z,2022-09-12T02:51:42.895Z,176.0004578,-38.78856659,4.231827311,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,25,22,109,0.1147581488,36.61799622,0.3888840635,0.1545587897
2022p674002,earthquake,2022-09-07T09:08:38.262Z,2022-09-07T09:17:04.856Z,176.1014709,-40.93224716,4.112337034,22.15776443,M,,LOCSAT,confirmed,manual,iasp91,32,22,21,0.07911981642,140.1567154,0.2045352156,0
2022p633180,earthquake,2022-08-23T06:38:41.982Z,2022-09-07T01:49:44.044Z,173.5712585,-42.13754654,4.125561871,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,34,25,65,0.1421991587,71.80250549,0.2915502639,0.2411337333
2022p564358,earthquake,2022-07-28T19:30:06.277Z,2022-08-08T23:10:38.180Z,171.5976562,-42.8635025,4.128549872,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,33,23,37,0.08818610013,46.4294281,0.4241777983,0.1430136172
2022p529447,earthquake,2022-07-15T21:29:27.027Z,2022-07-26T23:11:02.498Z,174.2660522,-41.68252563,4.639776826,8.179680824,MLv,,LOCSAT,confirmed,manual,iasp91,38,30,89,0.07709120959,128.8224335,0.4534241182,0.1736302889
2022p472209,earthquake,2022-06-24T17:13:14.872Z,2022-07-11T22:32:49.308Z,172.2956238,-42.13737869,4.427444811,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,39,26,83,0.2148753256,66.9556427,0.5019603439,0.2000100267
2022p465796,earthquake,2022-06-22T08:16:36.072Z,2022-07-07T22:06:31.916Z,174.2029877,-41.74104691,4.43852101,12.08723354,MLv,,LOCSAT,confirmed,manual,iasp91,39,30,93,0.0113635892,74.72033691,0.4382238527,0.1591979283
2022p434901,earthquake,2022-06-10T21:55:19.672Z,2022-06-27T22:40:59.395Z,175.2564087,-40.23655701,4.302844941,37.81533813,MLv,,LOCSAT,confirmed,manual,iasp91,52,37,99,0.05454589054,62.90365601,0.5127656365,0.1733560362
2022p361737,earthquake,2022-05-14T20:13:36.183Z,2022-06-03T01:20:55.846Z,174.6802521,-40.86977768,4.7022359,25.74809074,MLv,,LOCSAT,confirmed,manual,iasp91,38,26,119,0.1742665321,60.32467651,0.4178276501,0.1609060812
2022p244438,earthquake,2022-04-01T10:36:46.316Z,2022-04-13T19:54:55.031Z,171.7596741,-42.97711563,4.844404061,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,38,28,108,0.1436832249,37.29251099,0.3669175156,0.1658298648
2022p225442,earthquake,2022-03-25T09:55:47.019Z,2022-04-03T23:06:40.165Z,177.3371124,-38.72315598,4.428656142,26.2321434,MLv,,LOCSAT,confirmed,manual,iasp91,42,26,91,0.1682458818,40.1867981,0.4568286142,0.1843438059
2022p211653,earthquake,2022-03-20T07:28:48.429Z,2022-03-29T23:12:04.121Z,174.1757507,-41.78100967,4.561304637,9.160167694,MLv,,LOCSAT,confirmed,manual,iasp91,43,34,84,0.04281546175,133.8379898,0.349312201,0.1851563355
2022p207473,earthquake,2022-03-18T18:21:54.430Z,2022-03-29T21:29:54.297Z,175.8266144,-40.33129501,4.20187059,26.41446304,MLv,,LOCSAT,confirmed,manual,iasp91,45,30,102,0.03372600302,45.51879883,0.5055931722,0.2225512931
2022p138188,earthquake,2022-02-21T03:06:44.449Z,2022-02-21T03:26:06.942Z,173.6784973,-41.76634979,5.635963999,29.71275139,MLv,,LOCSAT,confirmed,manual,iasp91,61,48,119,0.140486151,34.57861328,0.5385486459,0.2111601007
2022p137041,earthquake,2022-02-20T16:55:52.006Z,2022-03-01T21:07:16.310Z,173.3157959,-42.98616409,4.455521734,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,34,23,86,0.1751838028,165.5538845,0.5312505963,0.2094270659
2022p130344,earthquake,2022-02-18T05:27:30.598Z,2022-03-18T02:32:03.735Z,173.2937927,-42.97240448,4.416177126,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,41,29,78,0.1594381779,164.9604549,0.5214601742,0
2021p977471,earthquake,2021-12-28T15:56:38.537Z,2021-12-28T16:03:24.362Z,174.2191162,-41.68942261,4.343065265,5.392114639,M,,LOCSAT,confirmed,manual,iasp91,37,26,21,0.05967793614,102.2604218,0.7256880275,0
2021p954474,earthquake,2021-12-20T03:43:58.564Z,2021-12-20T03:47:37.267Z,177.442215,-38.8866539,4.093664184,34.45302963,M,,LOCSAT,confirmed,manual,iasp91,39,28,92,0.149260968,59.56184387,0.3731813343,0
2021p926059,earthquake,2021-12-09T15:24:29.946Z,2021-12-10T02:28:20.255Z,174.1446838,-41.71509933,4.128181579,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,30,24,13,0.05151631311,59.14237976,0.4263556823,0
2021p695599,earthquake,2021-09-15T08:55:19.126Z,2021-10-13T00:00:32.021Z,178.0231018,-38.90402603,4.149445492,25.13981628,MLv,,LOCSAT,confirmed,manual,iasp91,49,38,24,0.1106425002,177.6056709,0.4122416052,0.1980411217
2021p665417,earthquake,2021-09-04T04:54:27.044Z,2021-09-04T05:04:48.256Z,176.5695038,-39.92452621,4.872817979,35.60233307,MLv,,LOCSAT,confirmed,manual,iasp91,49,33,124,0.0224230215,54.06851959,0.4383410646,0.2147777616
2021p653688,earthquake,2021-08-30T20:45:16.737Z,2021-09-24T04:41:45.653Z,172.2999725,-41.42342758,4.01685642,4.360214233,M,,LOCSAT,confirmed,manual,iasp91,47,31,13,0.3036600053,138.7645912,1.290254236,0
2021p582866,earthquake,2021-08-04T15:51:21.379Z,2021-08-04T15:58:13.828Z,174.6105804,-40.87586594,4.557384549,33.37352753,M,,LOCSAT,confirmed,manual,iasp91,43,32,103,0.2273630202,60.88388062,0.3279864599,0
2021p448505,earthquake,2021-06-15T22:43:34.578Z,2021-06-15T22:45:32.005Z,178.0596008,-38.44713593,4.166793429,18.23351479,M,,LOCSAT,confirmed,manual,iasp91,39,31,32,0.1216921583,80.00765228,0.5814394891,0
2021p413557,earthquake,2021-06-03T00:23:40.859Z,2021-06-03T00:32:23.600Z,175.9961243,-38.90662384,4.761659257,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,61,47,117,0.07654763758,39.93786621,0.4370836664,0.2084242448
2021p403370,earthquake,2021-05-30T05:55:40.609Z,2021-06-27T22:58:30.846Z,176.6797028,-40.02908707,4.283950768,33.37594604,M,,LOCSAT,confirmed,manual,iasp91,41,30,19,0.1123228297,97.48574066,0.4156230434,0
2021p268803,earthquake,2021-04-10T10:58:29.206Z,2021-04-10T11:07:21.968Z,174.5219269,-41.4535408,4.080256374,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,38,33,63,0.2332961559,115.8512268,0.2459127147,0.1598207902
2021p223371,earthquake,2021-03-24T15:32:24.212Z,2021-03-24T15:37:35.995Z,173.1444397,-42.47117233,4.101647269,30.24733734,M,,LOCSAT,confirmed,manual,iasp91,33,27,73,0.2379463613,80.65024567,0.251524366,0
2021p218945,earthquake,2021-03-23T00:14:27.951Z,2021-03-23T00:23:10.761Z,173.9393463,-41.98370361,4.008129186,9.675219536,MLv,,LOCSAT,confirmed,manual,iasp91,30,23,68,0.04204614088,155.0357933,0.3605458137,0.1889714505
2021p197433,earthquake,2021-03-15T01:12:29.017Z,2022-04-10T22:10:04.007Z,178.0118103,-38.90169144,4.722812469,30.31259918,MLv,,LOCSAT,confirmed,manual,iasp91,49,35,102,0.1024197415,174.7305717,0.3541370991,0.2109988781
